Domain,City,State,Country,Count
moodle.colgate.edu,New York City, New York,US,1
moodle.colgate.edu,Hoboken, New Jersey,US,1
gradescope.com,Boardman, Oregon,US,1
gradescope.com,Unknown, Unknown,Unknown,3
gradescope.com,Hamilton, New York,US,1
gradescope.com,North Syracuse, New York,US,1
gradescope.com,Albany, New York,US,1
gradescope.com,Brook Park, Ohio,US,1
gradescope.com,Chicago, Illinois,US,1
gradescope.com,Kansas City, Missouri,US,1
gradescope.com,Denver, Colorado,US,1
gradescope.com,Salt Lake City, Utah,US,1
gradescope.com,San Francisco, California,US,1
gradescope.com,San Jose, California,US,4
